image_id,movie_id,poster_path,backdrop_path
184,11472,/aYavA2TOqpWVcxQZ31mMlYKqoFM.jpg,
185,36196,/iYM0EdHrcbu8rhkDKVBkDcZEo8t.jpg,
186,11980,/A3aYGp8LLxuFdzG2ETnhfbWPk7h.jpg,
187,58372,/mIEtFo5z8G6b0r2mxHjfIWT7vy7.jpg,
188,32646,/ihX2udk636JMAAaWDIMj6n5ejhb.jpg,
189,10533,/g46rChf49Qgq28RJ22iWwvsK7nO.jpg,
190,56088,/qUlVaRYuiMvr1R3ZBW6hpS9QB4h.jpg,
191,10802,/lXpCjeuKtzkckXkam8sgOaaTOhc.jpg,/nKMLBnDGCPdHipJs0Xk8NzNmLFS.jpg
192,10149,/bgiPsYjbjbRFmEeUfYlp8ZDBVJJ.jpg,/r4Ov7P8OADcOxfpuDujoJl2Cqry.jpg
193,18402,/p9qioRaQblGXemFRQSwo8TpikVJ.jpg,
194,9348,/t5J0JH1L8L7CmtC3sL3K2ybgTbE.jpg,/vnpcoCTZhg1EdEog1kAS0pklx1o.jpg
195,139408,/5mkH38tcztyLy6CeAWHD1FC8ozC.jpg,
196,281,/rXvy5hG9OeVmgnv9w4IhQxhqEKD.jpg,
197,5967,/ju5W8qvWfjXXGaR7wd9wSyuYXhS.jpg,
198,79593,/uCPwXcYZ8G5Xi5h8zonBco980Dk.jpg,
199,47939,/ub79b63JJV4oeHwomSy5OS5fVsr.jpg,
200,36834,/BTGFfPHySJtw2qBoLysz3ercDB.jpg,
201,9090,/xIDEoG9FQGmMCh5XsbkvSuD8WrW.jpg,
202,3512,/5hkZdonGNmoqatnadpDnIgEbrho.jpg,/4Ysa3x4wDwolRpUXBCrig7szGon.jpg
203,52856,/puMRjRJYE5TX1ffwuqoLXW9iLqq.jpg,
204,77350,/5fY5iN8mUBLdd4fmcXwdTqAZ9Sx.jpg,
205,9560,/iZ4FNVYVUx6NS7HXMiNJTGgSo7H.jpg,
206,9804,/yordVJcPLh3VNRL7bXzFIBEhXRr.jpg,
207,31611,/aaFpmILNyNSReVgzKGFu8iKNYzi.jpg,
208,65796,/qIgslXL0NDtSlcHxISACLwWbkRJ.jpg,
209,49805,/xjWc2uWrcGLwC87JN2CbxseGKQ.jpg,
210,26258,/A4UQ0y2kj4ZXrBP0MXYazd69xp2.jpg,
211,50797,/prqpHdXvfzz8uYwGPaHj62XfJ1H.jpg,/h062iMfHieuKdeujaSZBmdYlgRw.jpg
212,19155,/aIll5MvOZmUCmiwuGWMlaHRj2gj.jpg,
213,76,/giaxAC74fht0LVQ4WKVoDzLM2Iy.jpg,/wtNugZq8ZzBYwPIh3VoNUJdkBWG.jpg
214,11017,/5mP8F0NYSVrwrlWRCSD4uywMNnX.jpg,
215,37141,/hUfKMTLCIK7OwLYX58TfY8APwRm.jpg,
216,9382,/dcgbt8FkRLvQjaheVlylPSQeTKC.jpg,
217,6715,/keUrRrUsmALR7kOTSdrOIDcO67z.jpg,
218,18256,/eeO3BIHJoI3sabtkqfYOStdbOwm.jpg,
219,22625,/6T3hCdOWU49Y0hmuzceARU5yS5x.jpg,
